Quotes,Author,Political Orientation
A nation based on freedom is just another place to go shopping.,Richard Bertrand Spencer,Right
"Leftists (who sometimes understand us better than we understand ourselves) have always sensed this; they know that when we talk about immigration, we’re not really talking about immigration.For us “immigration” is a proxy for race. In that way, immigration can be good or bad: it can be a conquest (as it seems now) . . . or a European in-gathering, something like White Zionism.  It all depends on the immigrants. And we should open our minds to the positive possibilities of mass immigration from the White world.And when White men talks about “restoring the Constitution”—or, more so, “Taking Our Country Back”— leftists and non-Whites are right to view this as threatening and racialist: it implies a return to origins and that the White man once owned America.Today, in the public imagination, “ethnic-cleansing” has been associated with civil war and mass murder (understandably so).  But this need not be the case.  1919 is a real example of successful ethnic redistribution—done by fiat, we should remember, but done peacefully.The ideal I advocate is the creation of a White Ethno-State on the North American continent.We must give up the false dreams of equality and democracy—not so that we could “wake up"" to reality; reality is boring—but so that we can take up the new dreams of channelling our energies and labor towards the exploration of our universe, towards the fostering of a new people, who are healthier, stronger, more intelligent, more beautiful, more athletic.",Richard Bertrand Spencer,Right
"I wouldn’t want to go back to the old white nationalism when no one was listening to us,” he said recently. “I want to be in a place where our ideas are entering the mainstream.”",Richard Bertrand Spencer,Right
"Hail Trump! Hail our people! Hail victory!America was, until this last generation, a white country designed for ourselves and our posterity.  It is our creation, it is our inheritance, and it belongs to us.The white race is ""a race that travels forever on an upward path.""To be white is to be a creator, an explorer, a conqueror.""We don’t exploit other groups, we don’t gain anything from their presence. They need us, and not the other way around.I do think we have a psychic connection, or you can say a deeper connection, with Donald Trump in a way that we simply do not have with most Republicans.I think we can be the ones out in front, thinking about those things he hasn't quite grasped yet, who are putting forward policies [that] have a realistic chance of being implemented.",Richard Bertrand Spencer,Right
"As Europeans, we are, uniquely, at the center of history.Think of the concepts that are now designated “problematic” and associated with whiteness -- power, strength, beauty, agency, accomplishment. Whites do and other groups don’t.For us, it is conquer or die. This is a unique burden for the white man, that our fate is entirely in our hands.",Richard Bertrand Spencer,Right
"German National Socialism is a historic movement of the past. It arose at a very particular time and had particular motives and ideas and policies and styles, and those aren’t mine",Richard Bertrand Spencer,Right
You could say that I am a white Zionist in the sense that I care about my people. I want us to have a secure homeland for us and ourselves. Just like you want a secure homeland in Israel,Richard Bertrand Spencer,Right
"I've been critical of the American founding throughout my career.No individual has a right outside of a collective community. You have rights, not eternally or given by God, or by nature.Ultimately the state gives those right[s] to you. The state is the source of rights, not the individual.",Richard Bertrand Spencer,Right
"Automation...the White Death...deindustrilization. Trump throws bombast and bluster at the problem. Andrew Yang sees the problem for what it is and offers understanding, sympathy, and solutions. Everyone should take this man and his ideas seriously.",Richard Bertrand Spencer,Right
"Lenin, Stalin, and Mao slaughtered even more tens of millions in the name of equality than Hitler murdered in the name of inequality.",Steve Sailer,Right
"The typical white intellectual considers himself superior to ordinary white people for two contradictory reasons: a] he constantly proclaims belief in human equality, but they don't; b] he has a high IQ, but they don't.",Steve Sailer,Right
"""Racism"" is to the current era what ""unAmericanism"" was to the Fifties: a curse word that provides a handy substitute for logical thought.",Steve Sailer,Right
"America`s perpetual trouble has been a less-productive black minority. Black-white economic inequality is not a problem that America is going to be able to solve any time soon. But, due to our market-dominant majority, our country is rich enough to live with it. In contrast, if our current mass immigration system is allowed to continue, America will become just another country with a market dominant minority. Through government policy, we will have inflicted upon ourselves the kind of ugly society seen in most of the rest of the world.",Steve Sailer,Right
"America`s relatively brief experiment with a generous welfare state was doomed by our African-American population. America tried to import the two fundamentals of the Swedish welfare state—high welfare payments and an end to social disapproval of illegitimacy—beginning about 1961. In parts of the U.S., such as heavily Scandinavian Minnesota, this worked reasonably well. But American voters were confronted with stunning speed with the realization that African-Americans responded differently than Swedes did to the new incentive structures. Welfare allowed much of African-American society to revert to African-style family structures.",Steve Sailer,Right
"Darwin seems to lose out with the public primarily when his supporters force him into a mano-a-mano Thunderdome death match against the Almighty. Most people seem willing to accept Darwinism as long as they don't have to believe in nothing but Darwinism. Thus, the strident tub-thumping for absolute atheism by evolutionary biologists like Richard Dawkins, whom the new issue of Discover Magazine rightly criticizes as ""Darwin's Rottweiler,"" is self-defeating.",Steve Sailer,Right
"What you won't hear, except from me, is that 'Let the good times roll' is an especially risky message for African-Americans. The plain fact is that they tend to possess poorer native judgment than members of better-educated groups. Thus they need stricter moral guidance from society. … In contrast to New Orleans, there was only minimal looting after the horrendous 1995 earthquake in Kobe, Japan — because, when you get down to it, [the] Japanese aren't blacks.",Steve Sailer,Right
"Immigration policy, by its very nature, is about discriminating, about selecting whom we should admit and whom we should keep out. It is one of the fundamental responsibilities of our elected representatives because if they don’t decide, inevitably some private interest is going to decide who gets in.",Steve Sailer,Right
"Just as the managers of a public company have a responsibility to the existing stockholders not to diminish the value of their shares by selling new ones too cheaply to outsiders, our politicians have a moral obligation to the current citizens and their descendents to preserve the scarcity value of their right to live in America.",Steve Sailer,Right
Perhaps the most quoted social philosopher of our time famously asked:,Steve Sailer,Right
"Sailer, Steve (2006-08-13). The One Word Grand Strategy for Westerners and Muslims: ""Disconnect"". VDARE. Archived from the original on 2013-06-30. Retrieved on 2007-06-23. (emphasis in original)",Steve Sailer,Right
"It becoming ever more clear that the combination of racial gaps in IQ and the IQ taboo acts as a black hole that sucks all the intelligence out of an institution. Racial gaps in achievement are the overwhelmingly dominant fact driving school performance, for instance, but nobody is allowed to mention the IQ gap among the races, so misbegotten nonsense rushes in.",Steve Sailer,Right
"Besides the multiculturalist and the assimilationist, there`s a third position that isn`t often invited to the immigration debate: the skeptical realist. On the rare occasions when they are mentioned in polite society, immigration skeptics are dismissed as “extremists“.",Steve Sailer,Right
"As the empirical case for mass immigration has become less plausible, its advocates have increasingly switched to emphasizing their moral superiority: they don`t look out for the general welfare of their fellow citizens, so that makes them better than their fellow citizens.",Steve Sailer,Right
"In the West, we have easier ways now to make a killing than killing. If Sir Francis Drake, the great admiral-pirate of Elizabethan England, were a young man today, would he emigrate to Somalia to get a start in the piracy industry? Of course not. He’d apply for a job at Goldman Sachs.",Steve Sailer,Right
"If somebody invented a magic bullet tomorrow that would somehow eliminate racial IQ disparities among all babies born from now on, measurable (though diminishing) gaps in the total population would still exist until everybody alive today is dead in the 22nd century.",Steve Sailer,Right
"If you analyze a host of real world outcomes using adoption studies, fraternal v. identical twin studies, twins-raised-apart studies, the history of early childhood intervention research, naturally-occurring experiments, differences between societies, changes over history, and so forth, you tend to come up with nature and nurture as being about equally important: maybe fifty-fifty. The glass is roughly half-full and half-empty.",Steve Sailer,Right
Political correctness is a war on noticing.,Steve Sailer,Right
"Privilege is basically a form of property, and as John Locke pointed out, property is what makes a civilization rather than a Libyan war zone of Hobbesian anarchy. The world is a better place when people can work constructively to earn privileges, individual and collective, and pass some of them on to their heirs.",Steve Sailer,Right
To be preyed upon by those stronger than you is bad enough; but to allow your artists and children to be slaughtered and defiled by barely organized foreigners who could be kept out by simple acts of national self-respect is far more shameful.,Steve Sailer,Right
"The governments of Europe are confronting an epochal choice in the Mediterranean. Do they allow Europe to remain on course toward inundation by the African population explosion, inevitably turning Florence into Ferguson and Barcelona into Baltimore?",Steve Sailer,Right
"Now, you might think that when the old majority becomes a minority, it would then get minority rights. But that’s not how it works. Whites can’t become a certified minority; they will always be the legacy majority. The closer we get to the future when whites are a minority, the more we hear about their ancestors’ sins, their ineradicable hereditary guilt, their corruption of blood.",Steve Sailer,Right
One lesson of Irish history might be that it’s better to tolerate your annoying neighbors rather than bring in people from beyond the seas to help you win your petty domestic disputes.,Steve Sailer,Right
"If we could just get people to be nice to their babies for five years straight, that would be it for war, drug abuse, addiction, promiscuity, sexually transmitted diseases, ... Almost all would be completely eliminated, because they all arise from dysfunctional early childhood experiences, which are all run by women",Stefan Molyneux,Right
There's a war on for your mind!,Alex Jones,Right
"If you are receiving this transmission, you are the resistance.",Alex Jones,Right
"THAT'S THEIR PLEASURE MuHAA, THEIR PLEASURE! Well I'm not gonna give them their pleasure. I'M GONNA CRAM A GUN IN THEIR MOUTH TO SEE HOW THEY LIKE IT! CAUSE I'M FREE! And it's been in my family history to fight! And I'm not your slave, so get it straight and we're ready. YOU CAN NERVE GAS US ALL DAY, WE'RE READY TO ROCK!",Alex Jones,Right
"I grew up in Dallas, Texas, drinking sodium fluoridated water. All the scientific studies show my IQ has been reduced by at least 20 points. The shadow of who I would have been calls out from the grave.",Alex Jones,Right
"Just men in black uniforms grabbing a fifty five-year-old uh you know woman just choking ah you're gonna learn who we are you're gonna learn to submit the foreign bankers have given us unlimited power and we're gonna rule you this is our country your here and WE'RE GONNA FEED ON YOUR ASS!,  AND THE COPS JUST DRINK FLUORIDE WATER, AHHH THEY TAKE THEIR KIDS AND JUST SHOOT 'EM UP WITH MERCURY and the kids become autistic the cops don't care they're I'm GOING TO THE TIT BAR I don't care if my kids brain-damaged they drink whiskey and wreck and kill everybody in Austin and then when they wreck and kill themselves the cops then go and SWAT team the bar owners that sold them too much whiskey it's your fault you sold too much whiskey to a god. YOU DON'T SELL TOO MUCH WHISKEY TO A GOD! We're God! You understand we roll America; we'll shoot you in the face, we'll bloody your face, and we'll laugh about it because we're weak gang members.",Alex Jones,Right
"And now they love it, they can abuse and beat up everybody and nobody can stop 'em. Nobody can stop 'em! They're having their way with America! They want our guns! And if you're not with 'em cops and military, then you will declare that you are with the Republic now. And don't tell me that I'm a weirdo 'cause I'm upset about this, and I should only go get upset about my favorite football team winning or losing. Listen, I know what tyranny means, I know the bankers are putting poison in our food and water. I know the bankers have stolen 8.5 trillion. I know we're under the War Powers Act. I know they're hurting us, I know they're carrying out New Word Order, I know they staged those terror attacks. You know what it's like to gut up to this and go out every day and go past the peer pressure and come out day one and say 9/11 was an inside job and lose most of the radio stations I was on? You know what it's like to go to sleep every night knowing you work for a bunch of psychotic killers, and you bastards are probably gonna end up killing me one day?! You know what it's like knowing you've ruined my life?! You know what it's like, you sons of bitches?! I'm tired of your crap! You commit evil, you're part of an evil system, and we're standing up against you! And the Republic is going to defeat you in the end! Some of us won't make it personally through this, but a lot of us are. And in the end you are gonna be brought to justice for all the kids you kidnapped for CPS, all you CPS workers, all you corrupt bureaucrats, all of you that've had your way with innocent children over and over again, who think your evil is invincible, you're not invincible and God is gonna deal with you, and you are cursed to hell!",Alex Jones,Right
I see through your lies Barack Obama you WICKED WICKED DEVIL!,Alex Jones,Right
"I'm like a chimpanzee, in a tree, jumping up and down, warning other chimpanzees when I see a big cat coming through the woods... I'm the weirdo? Because I'm sitting in a tree going ""OOH OOH AAH AAH AAH OOH AAH AAH OOH OOH OOH AAH AAH AAH AAH AAH!""?",Alex Jones,Right
The reason there are so many gay people now is because it's a chemical warfare operation. I have the government documents where they said they're going to encourage homosexuality with chemicals so people don't have children.,Alex Jones,Right
"Look, when you realize how fake it all is; the football, the basketball, the Lady Gaga, the Justin Bieber—you know, who gives you these carbon tax messages. They tell your kids they gotta love Justin Biebler [sic], and then Biebler [sic] says ""hand in your guns"", ""pass the Cyber Security Act"", and ""the police state is good"", and then your children are turned into a mindless vassals—who now, they look up to some twit, instead of looking up to Thomas Jefferson, or looking up to Nikola Tesla, or looking up to Magellan; I mean, kids, Magellan is a lot cooler than Justin Bieber! He circumnavigated with one ship the entire planet! He was killed by wild natives before they got back to Portugal! And when they got back there was only like eleven people alive of the two hundred and something crew and the entire ship was rotting down to the waterline! That's destiny! That's will! That's striving! That's being a trailblazer and explore! Going into space! Mathematics! Quantum mechanics! The secrets of the universe! It's all there! Life is fiery with its beauty! Its incredible detail! Tuning into it! They wanna shutter your mind, talking about Justin Bieber! It's pure evil! They're taking your intellect, your soul, and giving you Michael Jordan and Bieber. Unlock your human potential! Defeat the globalists who wanna shutter your mind!—Your doorways to perception!—I wanna see you truly live! I wanna see you truly be who you are!",Alex Jones,Right
"Stop feeling like you don't have power. Stop feeling pathetic and weak. Break out of your television-induced trance. It starts with a war growl. It starts with getting fired up, staring at yourself in the mirror, and showing some teeth, and saying ""I'm a human being. I have dignity. I'm gonna resist. I'm gonna start recognizing the propaganda. I'm gonna break free from it. I'm not gonna fight with my family. I'm gonna organize with my family, and realize we're under attack by the social engineers. And I'm not gonna fight with my neighbors. We're gonna organize. Humanity's gonna come together."" AAAHHH! YAAAHHH! We know we're under attack! We know it! We're breaking the conditioning! YAAAHHH! RAAAHH! We're coming for ya globalist. Coming for ya! Coming for ya! We know what you're doing! I'm sorry. I just get fired up when I think about what they're doing to us and how I wanna resist them, and how easy they are to defeat. Excuse me. I think my testosterone's going up. This happens every time I start working out a lot again. And I, uh, swam two miles this morning pretty hard, and uh, ate a big fat steak steak last night full of horomones, testosterone, on its own right. So I'm going a little bit wild today, excuse me.",Alex Jones,Right
"Scum, nazi, filth, trash, garbage, maggots. We're all ruled by little chicken-neck nellies, going ""Kill everybody! I get off when I talk about cutting people's power off! I'm a nelly!"" RAARGH! Just simpering control freaks, in big nerd packs, taking everything over, ruling everything. Becoming police officers with weapons, tasering us for fun. I've had it with control freaks and scum! You people are cancer! Ugh! Alright, I'm not in a good mood now. I start thinking about Bill Gates, that little chicken-neck, hopping around, little murdering eugenicist. You know how he walks, like a demonic elf. ""I'm Bill Gates! I'm gonna shoot you up with something that's gonna kill you deader than a hammer. How's a 30 year death from gut disease sound, African children? Roll up the sleeves! I'm a little chicken-neck bastard, and nobody's got the will to see what I am!""",Alex Jones,Right
"I believe from history and my own gut, instinct, that if I go ahead and lay it all out here, what we're really facing, you've got courage and you've got will, and you're gonna get angry and stop caring. It begins with not caring about what your slack-jawed knuckle-dragging cowardly pseudo tough-guy football-watching neighbor thinks. Okay? That's where it begins. It begins with not caring what happens to your individual person. And when you have that attitude, when you have that attitude, then the enemy doesn't have anything over you anymore. Stop being gelded domesticated garbage. Stop being weak! And when you see a threat coming down on you, deal with it! Become a human again! Stop being weak! We have a bunch of criminals coming down on us. God, ugh! Murdering scum. I wanna get humanity awake. I wanna get our forces up. And I wanna bring these people to justice. And you know what I mean. You know what I mean! I wanna unleash humanity, not have a bunch of con artist pot-bellied chicken-neck pieces of garbage running our world! More importantly they act like effeminate cowardly chicken necks cuz they want to train you to act like that they want to train you to be weak they want to train you. That's a nasty taste coming up in my mouth. Tastin' those globalists. I can taste their fear and their weakness. I taste metal, I taste blood.",Alex Jones,Right
"I tell you we're gonna get people awake to you you bastards and we're coming for ya we're coming straight for ya and you know it that's why you're so scared that's why you're moving so fast now, and you just better keep doing that dance, cuz you can feel that flame of rebellion starting to lap up and lick right up there oh yeah oh boy.",Alex Jones,Right
"All the average feds care about is dressing up in black uniforms and having mustaches and starring at people... I know your mustache is cool! You got little gold-framed glasses! You scare me so bad! Ugh... you scum! Scum! ... What's driving me crazy is that photo right there, zoom in on that, it's one of those cops with a black uniform with a mustache. You know that guy is a coward! You know he's a piece of garbage! You know he's weak! Oh! ... Oh, you got a mustache, I'll just worship you. Oh, you got a mustache, it's okay! Ugh, your demonic little mustaches!",Alex Jones,Right
"Chicken-neck weakness is like a god now. And being totally passive, and being a huge jellyfish slacker who looks like a fried egg in a chair. That is the culture of this, okay? The worship of being destroyed. Literally, I've now discovered the secrets of it. ... And everyone's wearing like pink and little green non-threatening, you know, colors, and this is what we face. This is what men look like now, on average. In fact, I used to bash men who were all into being big and muscular with tattoos and black on and going ""raagh"", now I get it! You don't wanna be like these people! Okay? I used to get mad at guys trying to act tough—no, no! That's good! Do that! In fact, I think I'm gonna just go all out with cut-off sleeves and drive a big fast car and be like ""graagh"", 'cause I mean I'm starting to get it! Men are running to that, because they see the armies... literally men in pastels... Now there's men everywhere wearing dresses, I'm telling you! It's like, they're just like ""New World Order, slaughter me, please!"" And the New World Order is like ""Act like a jellyfish coward and giggle at all reality"", and they're like ""Yes, yes!""",Alex Jones,Right
HuAHHHHHHHH MURDER AFRICA! INVASION FORCE! RELEASE US!,Alex Jones,Right
"I'm telling you folks, nerds are one of the most dangerous groups in this country, because they end up running things. But they still hate everybody, because they weren't the jocks in high school. So they play little dirty games on everybody. They use their brains to hurt people. And I'm aware of them. OK? I see you, you little rats!",Alex Jones,Right
"Hitler took the guns, Stalin took the guns, Mao took the guns, Fidel Castro took the guns, Hugo Chávez took the guns. And I am here to tell you, 1776 will commence again if you try to take our firearms! It doesn't matter how many lemmings you get out there on the street begging for them to have their guns taken; we will not relinquish them, do you understand? That's why you're going to fail, and the establishment knows, no matter how much propaganda, the Republic will rise again when you attempt to take our guns!",Alex Jones,Right
How about Prozac? ... The U.S. number one cause of [unnatural] death is suicide now because they give people suicide mass murder pills. ... I want to get people off pills that the insert says will make you commit suicide and kill people! I want to blame the real culprit—suicide pills! Mass murder pills!,Alex Jones,Right
"[in a British accent] Oh, they're so royal! We're lucky to have them coming here. But the rabble undoubtedly will be violent. Scum protesters– Oh, these insane people imagining the helicopters landing and the troops– these insane schizophrenics have come to town. The rabble– I'm so glad– thank God we're elite enough to have them though. I'm so honored. [switches to Cockney accent] Get back there mate! I'll have to have you arrested and have you deported! We're protecting criminals inside, busy stealing our pension funds and overrunning the country with third world populations. Now get back, you Yankee scum! HA HA! To show you the power of the Royal Guard Brigade! And this is the scotch we've been coughing down! Look at that pumpkin-headed Yank! That's the one, Alex Jones! I want you to know, young man, we will be watching you continually while we protect the Transhumanists putting cancer viruses in our children's shots!",Alex Jones,Right
"Hey listen, I'm here to warn people, you keep telling me to shut up! This isn't a game! Okay? Our government, the US, is building FEMA camps. We have an NDAA where they disappear people now. You have this ""arrest for public safety"", life in prison. It's basically off with their heads, disappear 'em, take 'em away. Infowars dot com. Liberty is rising. Liberty is rising! Freedom will not stop! You will not stop freedom! You will not stop the Republic! Humanity is awakening! Infowars dot com! No, you guys are crazy, thinking that the public's too stupid! You're crazy, thinking the public doesn't know! You're crazy, thinking the public isn't waking up!",Alex Jones,Right
"If I'm in, you know, especially in a poor area, and I see guys walking like they're thugs down the street, I don't care what color they are, I go ""That guy looks like they're a thug, and looks like they're tough, okay... If they try to shake me down I'm gonna ignore them and keep walking, and if they come up to me and try to put a hand on me, I'm gonna punch 'em right in the throat. 'Cause I don't wanna jump on top on of 'em and hurt my knees and stuff, when I slam their head in the ground. Plus, I don't wanna kill 'em. 'Cause then I'd have to go to jail and stuff, and they'd have to find that it was done in self defense. Been down that road."" So, I'm sitting there and I'm thinking, ""Alright. I'm gonna punch this guy in the throat."" I'm thinking how hard am I gonna punch him. And I'm not thinking he's a black guy. I'm thinking the guy's walking like a thug, thinks they're tough, and I'm thinking about how I'm going to defend myself. Just like when I've been at the Coast, a few years ago, and walk out of a restaurant in South Padre and they're having a biker rally—and it wasn't like a nice biker rally, most rallies are nice people—it was like thug wannabes, rode up with a motorcycle...and were looking at me, and I was thinking ""Okay. Alright. That guy is taking his helmet off. I'm gonna punch him in the throat the minute he tries to get up and do something, and then I'm gonna assault those next three guys. Then they'll probably pull a weapon. I need to take that."" I mean, that's what I'm thinking whenever something like that is going on. I can't help it. I'm thinking, ""Alright, I'm ready to kill."" That's just how I am. And I'm thinking, ""Alright. Okay. Instantly assess these guys. These are probably ex-con, real criminals. I've got my three kids here. That gives me, you know, just turbo dinosaur power. And I'm thinking, ""Control yourself. Don't have a fight, unless you absolutely got to."" You know, the man in me is ready to take all on! and... you know what I'm talking about, don't you? ARGH, you scum! I hate gang members and filth! And it has nothing to do with black people. But I will stump your head in if you start a fight with me, you thug scum! Anyways, excuse me ladies and gentlemen.",Alex Jones,Right
"Do you know what goes on at Skull & Bones? I have a family audience, so I can’t say it. They have sexual rituals– some of the most ancient Egyptian rituals– where they believe they are possessed by entities. Basically, space aliens.",Alex Jones,Right
,Alex Jones,Right
Parasites will be crushed I can taste your weakness crushing crushing crushing.,Alex Jones,Right
"It took me about a year with Sandy Hook to come to grips with the fact that the whole thing was fake. I mean, I couldn't believe it. I knew they jumped on it, used the crisis, hyped it up. But then I did deep research and my gosh, it just pretty much didn't happen.",Alex Jones,Right
"You’re weak! Your gods weak!""",Alex Jones,Right
"What do you think tap water is? It's a gay bomb, baby. And I'm not saying people didn't naturally have homosexual feelings. I'm not even getting into it, quite frankly. I mean, give me a break. Do you think I'm like, oh, shocked by it, so I'm up here bashing it because I don't like gay people? I don't like 'em putting chemicals in the water that turn the freakin' frogs gay! Do you understand that? I'm sick of being social engineered, it's not funny!",Alex Jones,Right
"Bernie wants us to live under the heavenly socialist–communist system like China. We never hear the left criticize that Mao Tse-Tung killed over 80 million people—the Chinese government admits—biggest mass murder in history. That's why there's so many liberal trendy places in Austin, in Denver, in New York, in LA, and San Francisco named after Mao. And people go and love play on their iPhones and the free market and their Chinese slave goods, and they drink beer and expensive wine and giggle about how fun it is to wear red stars. You couldn't put more bad luck on you, you couldn't trash your mojo better. Wearing swastika armbands, you stupid snot-nosed crud! That live off the backs of everybody that fought Nazism and Communism. You need to have your jaws broken! Don't you worry, reality is gonna crash in on you, trash! Who lowered our defenses and brought the Republic down; oh, we're already gone! And you celebrate it like you've joined the globalists mounting America's head on the wall, your great victory! A mass rape of women across Europe. The national draft coming in for women! The families falling apart! Women degraded into nothing but sexual objects! ALL in the name of Gloria Steinem and the Central Intelligence Agency program! And a Bernie Sanders with his fake Einstein hair, and his 'I'm a man of the people!' We go out and talk to Bernie Sanders' supporters, they can hardly talk—they're like him—'Free! Free! I want free stuff!' As if the New World Order is gonna give you anything free! Oh, it's free like a piece of cheese. And a little mouse comes out and it smells it and goes to bite it and, WA BAM! Breaks your neck. But your stupider than the little mouse. You can see all the countries and all the people caught in the mouse traps, caught in the big bear traps. You know what you do? You go into a trendy shop. On some capitalist strip. And you go in and you snuggle in with that credit card that daddy put money in for the trust fund. And you put on that little fur-rimmed coat and you're all sexy with your hammer and sickle on, and your Che Guevara and, you know, shirt from Rage Against the Machine, and the whole capitalist record company system selling it to you, and you go out on the street and you walk into McDonald's and you have yourself a double latte, oh yeah. Pathetic! Scum! Oh, how you'll burn in the camps, later. Wishing you had done something; I mean, you are the ultimate chumps, the ultimate buffoons, the ultimate schmucks! ... But the public had so much freedom! They were so wealthy, even our poorest, they had no idea that what they were replacing it with was abject slavery.",Alex Jones,Right
"Imagine you live in a world that's totally plastic. Who are your enemies, if you're evil? The Patriots. We are the future. We are the leaders. WE ARE 1776! We are those that were given the mantle and the birthright by George freakin Washington and Thomas Jefferson. They've taught you to not know who they are, or hate them. No, they were renowned around the world. George Washington for weeks had dysentery and lost about a third of his weight and climbed around in freezing ice with his men where they would go on marches at night and they'd lose 10-15 people just in one battalion freezing to death to at dawn battle the Germans three to one in places like Trenton, in 30 below temperatures and 20+ mile marches, in the dark, with men dying all around them, and George Washington, with diarrhea running out of his pants, on top of that horse, MARCHING TO KICK ASS! MARCHING NOT TO GIVE UP! TAKING ACTION! THAT'S WHO WE COME FROM! And we let all these HUNCHBACK SCUM rule us - I WILL NEVER SUBMIT TO YOU! AND THE HUMAN SPIRIT IS RISING! YOU WILL NOT TURN US INTO ANIMALS! YOU WILL NOT POISON US ANYMORE! - You will NOT kill us! OUR SPIRIT TRANSCENDS ALL YOU'VE DONE TO US!",Alex Jones,Right
"It’s the Devil. The churches aren’t going to tell you. It is an alien force, not of this world, attacking humanity like the Bible and every ancient text says, and you can read the Bible, it’s hiding in plain view. It’s not of this world. And I don’t know exactly what it is or what it’s doing, but this is not human intelligence, OK? IT'S NOT HUMAN INTELLIGENCE WE""RE FACING! I REFUSE TO FIGHT WITH EVERYBODY. ALL THE STUPID RACIST WHITE PEOPLE, ALL THE STUPID RACIST BLACK PEOPLE, ALL THE STUPID RACIST MEXICANS. ALL OF YOU. I CAN'T STAND YOU, YOU'RE IDIOTS. WE'RE UNDER ATTACK. EVERYBODY'S UNDER ATTACK. The elite hate Trump. Let me tell you, if he is a psy-op, he is the most sophisticated one I ever saw. And even if he is, he is a revelation of the awakening and they have to pull this trick to try to divert us. It doesn’t matter, it’s part of the awakening. Humanity has got to get off-world. We need access to the life-extension technologies. Talk about discrimination, forget skin color. I want the advanced life-extension! I want to go to space! I want to see interdimensional travel! I want what God promised us and I won’t sit here and watch Satan steal it! That’s the fight! That’s the key! That’s everything!",Alex Jones,Right
"What do I do lord? [in a demonic voice] *""Destroy the child, corrupt them all.""* This is their plan people. These are demons. Just like the Bible says. Basically an intergalactic invasion into this space through people. I...I...I'm telling you it's what the ancients said. It's what they warned of. It's what we're dealing with. They're demons. They're freaking inter dimensional invaders. Okay, i'll just say it. Make fun of me all you want on CNN or whatever but everyone already intimately knows this. These people are not freaking humans, okay. Hillary Clinton is a god damn demon.",Alex Jones,Right
"All I know is, whether they're interdimensional demons, whatever they are-... Let's just say that's an allegory, all I know is it's the same thing. Psychopaths operate, they're not human, I don't like them. Okay?! And my very humanity is like *RAAAAAAA LET'S TAKE THEM ON, WANNA FIGHT? YOU'RE GONNA GET ONE-* .. You.. You inhuman soulless pieces of trash. I see you real good. And I know our species is stronger than you and better than you, we're gonna beat your ass. Get that through your head.",Alex Jones,Right
You're a big fat bully scumbag! And i don't like you!,Alex Jones,Right
"I'm a pioneer, I'm an explorer, I'm a human, and I'm coming. I'm animated, I'm alive, my heart's big, it's got hot blood going through it fast. I like to fight, too! I like to eat! I like to have children! I'm here! I've got a life force: This is a human, this is what we look like, this is what we act like, this what everybody was like before us, this is what I am, I'm a throwback. I'm here! I've got the fire of human liberty! I'm setting fires everywhere, and humans are turning on everywhere.",Alex Jones,Right
"It is surreal to talk about issues, here on air, and then word-for-word hear Trump say it two days later.",Alex Jones,Right
"The West is only a destabilization program right now. We aren’t to that point yet, but in Sweden and Germany and France they’re putting ads on saying, “You are demoralized. You are dead. You are over. Give up to the hijab. Give up to Muhammad and Allah! Allah Akbar! We’re gonna stab your daughter at the mall! We’re gonna to stab your wife, your son, we’re gonna stab you with a butcher knife!” And then the police chief is going to get up and say, “We love our Somalis. We love our Muslims. Oh they’re so good. Oh they’re so sweet.”",Alex Jones,Right
"I will go to hell before I sit here and watch this country and the world turned over to these savages! I'm done, I'm pissed, and I'm not putting up with it anymore! Let me tell you something, you filthy traitors in the government, you pieces of crap.You are the most degenerate, twisted, mentally ill people I've ever seen, wanting to gang-rape this Republic and this country and the West that has been the literal cornerstone, the absolute jewel in the crown of free Western Renaissance societies and the very best literature, music, technology, science, medicine, culture the world's ever seen!You Satanists wanna to sacrifice the West! You wanna to kill the beautiful goddess that is the West! You people are enemies, and we're going to get your asses, and we know what you're up to, and we're coming for you!",Alex Jones,Right
"Let me tell all the scum and all the leftists: you’re going to lose all of your jobs soon. The whole mainstream media is dying. We’re going to be in a huge Depression. You’re going to be living in your mothers’ basements. And I hope your little fake liberal culture you’ve got that’s totally fascist and Satanic — I hope it keeps you warm at night because that’s all you’re going to have, and it’s all you’re ever going to have. Okay? I just hope you understand that.",Alex Jones,Right
"Sometimes the VULGOTH, the VULGAR, the BARBARIAN WAY is the way to say it... I want to say something, I'm a lover. And that's why I'm a fighter. And I love my family and I love justice so much I'm willing to do whatever it takes to stop you. And I hate your stinking guts, I can smell you from a thousand miles away, and you smell like failure, you smell like hell, and I want to thank the God of the Universe that I'm not with these people I, oh, I get tears in my eyes to GOD that I'm thankful everyday that I don't come from filth like you that want to trample on humanity, thank God I'm not a degenerate filthy vampire like you. And I guess in the final equation, as upset as I get watching you hurt the innocent; that's what matters is that you'll NEVER, DEFEAT THE HUMAN SPIRIT!  YOU'LL NEVER DEFEAT GOD! YOU'LL NEVER WIN! NEVER! NEVER EVER! NEVER! And the spirit of humanity is rising and it is gonna defeat you. You think you're strong? You think you're scary? You try to mimic what you can only imagine in your mind is God's Wrath and God's Wrath coming for you and you deserve EVERYTHING that happens to you trash... ...the reason the enemy's so mad is he knows he's a loser... ...And this is where we get tested, SO REJOICE TO GOD ALMIGHTY FOR THIS ANIMATING CONTEST OF LIBERTY! AAAAAAGGNNNGGHHHUUUGGHHH.",Alex Jones,Right
